id,shortName,stem,notstem,courses,stem_ratio,sessions,pictures
109,'yale',1,3,4,0.25,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/yale.jpg
110,'telaviv',1,2,3,0.333333333,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/telaviv.jpg
116,'wvu',2,0,2,1,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/wvu.jpg
117,'suny',2,2,4,0.5,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/suny.jpg
119,'uhs',2,2,4,0.5,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uhs.jpg
120,'newmexico',2,1,3,0.666666667,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/newmexico.jpg
121,'ntu',3,0,3,1,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ntu.jpg
123,'usg',0,0,0,0,0,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/usg.jpg
124,'nebraska',1,0,1,1,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/nebraska.jpg
126,'cusystem',3,2,5,0.6,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/cusystem.jpg
127,'uk',1,1,2,0.5,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uk.jpg
128,'ecp',2,1,3,0.666666667,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ecp.jpg
129,'technion',2,0,2,1,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/technion.jpg
130,'ens',2,1,3,0.666666667,6,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ens.jpg
131,'amsterdam',0,2,2,0,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/amsterdam.jpg
146,'ualberta',1,1,2,0.5,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ualberta.jpg
147,'manchester',3,1,4,0.75,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/manchester.jpg
148,'mcmaster',0,1,1,0,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/mcmaster.jpg
150,'sjtu',5,3,8,0.625,9,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/sjtu.jpg
154,'natgeo',0,2,2,0,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/natgeo.jpg
155,'unsw',2,3,5,0.4,6,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unsw.jpg
156,'uwa',1,0,1,1,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uwa.jpg
157,'bocconi',1,1,2,0.5,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/bocconi.jpg
159,'unil',0,3,3,0,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unil.jpg
160,'hse',11,2,13,0.846153846,14,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/hse.jpg
161,'hec',1,1,2,0.5,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/hec.jpg
163,'pku',14,8,22,0.636363636,29,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/pku.jpg
172,'iese',2,0,2,1,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/iese.jpg
175,'cbs',2,0,2,1,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/cbs.jpg
176,'mipt',4,0,4,1,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/mipt.jpg
177,'tue',1,1,2,0.5,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/tue.jpg
178,'kaist',2,2,4,0.5,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/kaist.jpg
179,'spbu',0,0,0,0,0,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/spbu.jpg
182,'koc',2,0,2,1,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/koc.jpg
188,'fudan',0,1,1,0,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/fudan.jpg
199,'lunduniversity',3,0,3,1,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/lunduniversity.jpg
208,'unicamp',1,1,2,0.5,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unicamp.jpg
221,'usp',4,0,4,1,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/usp.jpg
223,'essec',0,1,1,0,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/essec.jpg
224,'lemann',0,1,1,0,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/lemann.jpg
